Value_male,Value_fem
14.126,14.651
13.124,13.648
12.122,12.645
11.621,11.642
11.12,11.642
11.621,11.642
11.621,12.143
12.122,12.645
12.623,13.147
13.625,13.648
14.626,15.152
29.633,24.166
37.623,37.647
38.123,37.647
38.123,38.146
38.622,37.647
34.129,37.647
29.633,36.65
25.135,39.142
22.134,32.66
19.632,26.166
17.13,21.164
15.628,17.157
13.625,14.651
12.122,12.645
11.12,11.642
10.118,10.136
9.116,9.634
9.116,9.132
9.116,9.132
9.617,9.634
10.619,10.638
11.621,11.642
12.623,12.143
21.634,14.651
38.622,35.154
38.123,37.647
38.123,37.149
38.123,36.65
38.123,36.65
37.623,39.641
37.623,37.647
38.123,38.146
37.623,38.146
37.623,38.146
37.623,38.644
37.124,38.146
38.123,38.146
38.123,39.142
37.623,39.641
37.124,38.644
38.123,37.149
37.623,37.149
37.623,36.65
37.623,37.149
36.625,37.149
36.625,37.149
36.126,36.152
36.625,37.149
36.126,37.149
37.623,38.146
37.623,37.149
37.124,37.149
37.124,37.647
37.124,36.65
36.625,37.149
36.625,36.65
36.126,37.149
36.126,37.647
31.632,39.641
23.635,36.65
18.632,37.149
16.129,38.146
15.127,31.661
13.625,24.666
12.122,24.666
12.122,20.162
12.122,32.16
12.623,38.146
13.625,38.644
17.13,37.149
19.132,38.644
20.633,36.65
36.625,36.65
38.123,36.65
36.625,38.146
37.623,36.65
38.123,36.152
37.623,37.149
36.126,36.152
38.123,38.644
39.121,38.644
36.126,36.152
36.126,37.149
37.623,37.149
35.128,35.653
30.133,32.16
27.135,28.665
24.635,24.666
22.134,21.664
20.133,19.662
18.632,18.66
18.131,18.159
17.63,18.159
17.63,18.159
18.131,18.66
19.632,21.164
22.134,34.655
36.625,36.65
36.625,37.647
37.124,39.142
38.123,39.142
36.625,36.65
35.627,36.152
35.627,39.641
36.126,37.149
35.627,36.152
35.128,36.152
29.134,39.142
23.635,38.644
20.633,35.653
19.132,28.665
17.13,22.165
15.628,18.66
14.626,16.155
14.126,15.152
14.626,15.152
15.127,15.654
15.127,15.654
15.628,15.654
15.628,16.155
16.629,33.159
36.126,37.149
38.622,39.142
38.123,38.644
37.124,39.142
37.124,38.146
37.124,38.146
37.124,37.647
36.625,37.149
37.623,37.647
36.126,39.142
37.124,39.641
33.63,39.142
27.634,38.644
26.135,38.644
21.134,38.146
21.634,36.65
21.134,36.65
20.133,37.647
19.632,37.647
17.63,37.149
16.629,36.65
16.129,36.65
16.629,36.65
36.126,36.65
37.623,37.149
38.123,37.647
37.623,38.146
37.623,38.146
37.124,37.149
36.625,36.65
38.123,38.146
37.623,37.149
37.623,39.641
36.625,36.152
35.627,35.653
34.628,35.154
34.129,36.152
36.625,34.157
36.625,36.65
37.124,37.647
36.126,37.647
33.63,35.653
32.631,34.157
35.627,33.159
35.627,35.154
34.628,34.655
36.126,35.154
39.121,36.65
39.121,38.644
38.622,38.146
38.123,39.142
38.123,39.142
37.124,39.641
38.622,38.644
38.123,39.641
38.123,39.641
38.123,38.644
38.622,39.142
38.123,39.641
38.622,39.142
37.623,39.142
36.625,37.149
39.121,37.647
38.622,37.647
37.124,37.149
37.124,39.142
37.623,39.142
38.622,38.146
37.623,37.647
37.623,38.146
37.124,38.644
38.123,39.641
38.622,38.644
37.623,39.142
38.622,38.644
38.123,38.644
38.123,38.644
38.622,38.644
38.123,38.644
38.622,39.142
37.623,38.146
37.623,37.647
37.623,39.142
37.124,38.146
38.123,37.149
37.124,36.65
36.625,38.644
38.622,39.142
37.124,38.146
36.126,38.146
35.627,39.641
36.126,39.142
36.126,38.146
37.623,38.146
38.123,38.146
38.123,38.146
38.622,39.641
38.622,39.641
38.622,39.142
38.123,39.142
38.123,38.644
37.623,38.146
36.625,37.149
36.625,38.146
38.123,37.647
37.124,38.644
38.622,39.641
38.622,38.644
37.623,39.142
36.625,37.647
37.623,38.146
38.622,39.641
37.623,37.647
36.625,38.644
37.124,38.644
37.623,38.146
37.124,39.142
37.124,39.142
36.625,37.647
37.623,38.644
36.625,39.142
37.124,38.146
38.622,38.644
39.619,39.142
36.625,38.146
36.625,38.644
36.625,38.644
36.625,38.644
37.124,37.647
37.623,37.647
38.622,37.149
37.623,39.142
37.124,37.647
37.623,37.149
36.126,38.644
37.124,37.149
36.126,38.146
36.625,37.149
37.124,35.653
36.126,36.152
36.126,36.152
36.126,36.152
36.126,36.65
38.622,37.149
38.123,39.142
37.124,36.65
37.124,36.65
37.124,37.149
37.124,38.644
37.124,36.152
36.625,35.653
36.625,35.154
36.126,35.154
38.123,37.149
36.126,37.647
37.124,33.658
34.628,29.164
29.134,27.166
26.135,27.665
25.135,37.647
29.134,37.149
38.123,35.154
38.123,35.653
37.124,35.653
36.126,34.157
36.625,33.658
36.625,34.655
36.625,36.152
39.121,38.146
38.123,36.65
36.625,35.653
36.126,37.149
37.124,37.149
38.123,35.653
36.126,34.157
35.128,33.658
35.627,33.658
36.625,33.159
34.628,32.16
32.631,31.162
29.633,30.163
27.634,28.665
26.135,27.166
23.635,25.166
22.134,23.666
20.633,22.165
19.632,21.164
18.632,20.162
18.131,19.161
17.63,18.66
18.632,32.66
33.13,36.152
37.124,37.647
37.124,37.149
37.124,36.65
38.123,35.154
38.123,35.154
38.622,35.653
38.123,36.152
38.622,37.149
38.123,38.644
38.123,38.146
37.623,38.146
38.622,38.146
38.622,38.146
38.123,38.146
37.623,37.647
38.123,37.149
36.625,37.647
36.625,38.146
36.126,36.65
36.126,36.65
36.126,36.65
37.124,37.647
37.623,37.647
37.124,38.146
37.124,39.641
36.625,38.644
37.623,37.647
36.625,38.644
36.625,38.146
36.625,37.647
37.623,38.644
37.124,39.142
37.124,38.644
38.622,38.644
38.123,37.647
37.623,38.644
38.123,39.142
38.123,39.142
37.124,37.149
37.623,37.647
37.124,36.65
35.627,35.653
35.627,35.653
35.627,35.653
35.128,36.65
37.124,36.152
37.623,35.653
36.625,37.647
37.623,39.142
37.623,38.146
37.623,38.644
37.124,37.647
37.124,37.149
35.128,36.152
36.625,35.154
37.124,34.655
36.625,33.658
36.625,33.658
34.129,34.157
28.634,35.154
24.135,25.666
21.134,19.662
18.632,16.155
17.13,14.651
15.628,13.147
14.626,12.645
14.126,12.645
13.625,12.645
13.625,12.645
13.625,12.645
13.625,13.147
19.132,13.648
37.623,13.648
37.623,13.648
37.623,13.648
39.619,13.648
38.123,13.648
37.623,13.147
37.623,13.147
38.123,12.645
38.123,12.143
38.123,11.642
37.124,11.642
37.623,11.14
38.622,10.638
37.623,10.136
37.124,10.136
36.126,9.634
37.623,9.634
36.625,9.634
35.627,9.634
37.124,10.136
37.623,10.638
37.124,11.642
36.625,12.143
37.124,13.147
38.123,13.648
38.123,13.648
37.623,13.648
38.123,13.648
37.623,13.648
36.625,13.147
37.124,13.147
36.126,12.645
37.124,12.143
38.622,12.143
36.126,11.642
36.126,11.642
35.128,11.14
30.633,11.14
26.635,10.638
24.635,10.638
22.634,10.638
20.633,10.638
18.632,11.14
17.13,11.14
16.129,12.143
15.127,12.645
15.127,13.147
16.629,13.648
32.131,14.15
38.123,14.15
37.124,14.15
37.623,13.648
38.622,13.648
38.123,13.648
38.123,13.147
38.123,13.147
37.623,13.147
37.623,12.645
37.623,12.645
37.623,12.143
37.124,12.143
39.121,11.642
38.123,11.642
37.623,11.14
36.625,11.14
36.625,11.14
37.623,11.642
37.623,12.143
37.623,12.645
37.124,13.147
36.625,13.648
36.625,34.157
38.622,37.149
38.622,35.653
38.123,30.663
37.623,23.165
37.124,19.161
37.623,16.656
37.124,15.654
37.124,15.152
37.623,14.651
38.123,14.15
38.123,14.15
38.123,13.648
38.123,13.648
38.123,13.648
37.623,13.648
36.625,13.648
37.124,13.648
38.622,13.648
37.124,13.648
38.123,14.15
37.623,14.15
36.126,14.651
38.123,15.152
37.124,15.152
37.623,15.152
38.622,15.152
37.124,15.152
38.123,15.152
37.623,15.152
36.625,14.651
36.126,14.651
38.123,14.651
36.126,14.15
36.126,14.15
36.126,13.648
37.124,13.648
37.124,13.147
34.129,13.147
29.633,12.645
25.635,12.143
22.134,12.143
19.632,11.642
18.131,11.642
16.629,11.642
15.628,11.642
14.626,11.14
15.127,11.14
32.631,11.14
39.121,11.14
38.622,10.638
38.622,10.638
36.625,10.136
36.126,10.136
36.625,9.634
37.623,9.634
35.128,9.132
26.635,9.132
20.633,9.132
16.129,8.63
14.126,8.63
13.124,8.63
11.621,8.63
11.12,8.128
10.118,8.128
10.118,8.128
9.617,8.128
9.617,8.128
9.617,8.128
9.617,8.128
11.12,8.63
23.635,8.63
38.123,8.63
37.124,8.63
37.124,8.63
38.622,9.132
39.619,9.132
38.622,9.132
39.619,9.132
39.121,9.132
37.124,9.132
37.124,9.132
36.625,8.63
38.622,8.63
38.123,8.63
37.124,8.63
37.124,8.63
37.124,8.128
38.123,8.128
37.623,7.626
37.124,7.626
37.623,8.128
37.623,8.128
37.124,8.63
37.124,9.132
36.625,9.132
37.124,9.634
38.622,10.136
37.623,10.136
37.623,9.634
37.623,9.634
38.622,9.132
38.123,9.132
36.126,8.63
36.625,8.128
36.625,7.626
36.625,7.123
37.124,6.621
37.623,6.119
29.633,5.616
20.633,5.616
16.129,5.113
13.625,4.611
11.621,4.611
10.619,4.108
9.617,4.108
9.617,4.611
10.118,5.113
9.617,5.616
10.118,6.119
12.122,6.621
31.632,7.123
37.124,7.123
38.123,7.123
37.124,7.123
37.623,6.621
38.123,6.621
37.124,6.119
36.625,6.119
36.126,5.616
35.128,5.113
23.635,5.113
16.629,4.611
13.124,4.611
11.621,4.108
10.118,4.108
9.116,3.605
8.614,3.605
8.113,3.605
7.612,3.605
7.612,4.108
7.612,4.108
8.113,4.611
12.122,5.113
35.627,5.113
37.124,5.616
37.623,5.616
38.123,5.616
38.123,5.616
38.123,5.113
38.123,5.113
37.623,5.113
36.625,4.611
36.625,4.611
36.126,4.108
32.631,3.605
22.134,3.605
15.127,3.605
13.124,3.103
11.12,3.103
10.118,3.103
9.116,3.103
8.113,2.6
7.612,3.103
7.612,3.605
7.612,3.605
8.113,4.108
11.621,5.113
34.129,5.616
37.623,6.119
38.622,6.621
38.123,6.621
37.623,6.621
37.623,6.621
36.625,6.621
37.124,6.621
37.124,6.621
37.623,6.621
38.622,6.621
37.623,6.621
36.625,7.123
25.635,7.123
17.63,8.128
14.126,19.161
12.122,36.65
10.619,34.655
9.617,34.157
9.116,23.666
9.116,16.155
8.614,12.645
9.116,11.642
11.621,11.14
26.635,11.14
38.123,11.14
37.623,11.14
38.622,11.14
38.123,10.638
38.123,10.638
38.622,10.136
37.124,10.136
36.625,9.634
36.625,9.634
36.625,9.132
37.124,8.63
28.134,8.63
20.133,8.63
16.129,8.63
14.626,8.63
13.124,8.63
11.621,8.63
10.619,9.132
10.118,9.132
10.118,9.132
10.118,9.634
10.619,10.136
10.619,10.638
18.131,10.638
37.623,11.14
37.124,11.14
39.121,11.14
38.622,11.14
38.123,10.638
39.121,10.638
38.123,10.136
37.124,10.136
38.123,9.634
37.623,9.634
37.623,9.132
37.623,8.63
37.623,8.63
